"sample"	"psite_region"	"frame"	"fraction_mean"	"fraction_sd"	"fraction_sem"
"sup45_ts_25C"	"Distal 3'-UTR"	"2"	0.401705261880344	0.0108651389547862	0.00768281343346341
"sup45_ts_37C"	"5'-UTR"	"0"	0.198957530248185	0.0147898797311018	0.0104580242507955
"sup45_ts_37C"	"5'-UTR"	"1"	0.271334022263289	0.0148421461434303	0.0104949821853814
"sup45_ts_37C"	"5'-UTR"	"2"	0.529708447488525	0.0296320258745321	0.0209530064361769
"sup45_ts_37C"	"CDS"	"0"	0.579918655609417	0.0108822174894038	0.00769488978110427
"sup45_ts_37C"	"CDS"	"1"	0.215863214837534	0.0312207884938781	0.0220764312580121
"sup45_ts_37C"	"CDS"	"2"	0.204218129553049	0.0421030059832819	0.0297713210391164
"sup45_ts_37C"	"Extension"	"0"	0.445980981512447	0.00407716771684261	0.00288299294061428
"sup45_ts_37C"	"Extension"	"1"	0.28146770221561	0.0248313555928108	0.017558419925731
"sup45_ts_37C"	"Extension"	"2"	0.272551316271943	0.0289085233096534	0.0204414128663453
"sup45_ts_37C"	"Distal 3'-UTR"	"0"	0.301427797037329	0.00672085525143697	0.0047523623236643
"sup45_ts_37C"	"Distal 3'-UTR"	"1"	0.368868846407199	0.00979086628981756	0.00692318794722077
"sup45_ts_37C"	"Distal 3'-UTR"	"2"	0.329703356555472	0.0165117215412545	0.0116755502708851
"sup45_wt"	"5'-UTR"	"0"	0.175939261023081	0.00435462419769868	0.00307918429971177
"sup45_wt"	"5'-UTR"	"1"	0.229463806705578	0.00417970112271073	0.00295549500720178
"sup45_wt"	"5'-UTR"	"2"	0.59459693227134	0.00853432532040939	0.00603467930691354
"sup45_wt"	"CDS"	"0"	0.870013309703702	0.0347929085052794	0.0246023015412862
"sup45_wt"	"CDS"	"1"	0.0710501282554374	0.0371461791380203	0.0262663151636644
"sup45_wt"	"CDS"	"2"	0.0589365620408605	0.00235327063274084	0.00166401362237821
"sup45_wt"	"Extension"	"0"	0.410551592667214	0.0217859716571781	0.0154050082935286
